position_5,bip_bin,avg_bip_secs_sd,total_distance_min_sd,hsr_min_sd,hmld_min_sd,accelerations_total_number_min_sd,total_acceleration_load_min_sd,contacts_min_sd,total_breakdowns_min_sd,scrum_maul_min_sd,avg_bip_secs,total_distance_min,hsr_min,hmld_min,accelerations_total_number_min,total_acceleration_load_min,contacts_min,total_breakdowns_min,scrum_maul_min
Front Row,0-15,0.6,22,1.8,4.6,0.3,8.7,0.3,0.1,0.5,9.3,81.1,1.6,6.7,0.5,29.1,0.4,0.1,0.7
Front Row,16-30,1.9,10.2,1.6,1.9,0.2,2.6,0.3,0.2,0.2,22.4,91.2,1.8,7.1,0.4,30.8,0.6,0.3,0.2
Front Row,31-45,1.2,14.5,1.3,2,0.2,6.2,0.3,0.2,0.2,37,90.4,1.2,5.6,0.4,30.6,0.6,0.5,0.2
Front Row,46-60,1.9,15.7,1.4,1.9,0.1,5.1,0.3,0.3,0.1,52.7,87,1.3,4.8,0.3,29.9,0.6,0.5,0.1
Front Row,61-90,4.2,8.7,0.8,1.8,0.2,3.2,0.2,0.2,0.1,74.4,86.9,0.8,4.3,0.3,31.2,0.8,0.5,0.1
Front Row,91-120,3.8,9.4,0.7,1,0.1,4.5,0.4,0.2,0.2,104.2,77.6,0.5,3,0.3,28.9,0.8,0.5,0.2
Front Row,121-150,11,5.6,0.7,0.9,0.3,2.6,0.4,0.3,0,134.9,86.7,0.5,4.7,0.4,32.1,1.1,0.7,0
Front Row,151-180,11.3,17.6,0.2,0.8,0.2,4.7,0.1,0.2,0,162,88.5,1.7,6.1,0.5,31.3,0.8,0.7,0
Front Row,180+,0,0,0,0,0,0,0,0,0,212,69.4,0,2.1,0.2,27.6,0.1,0.2,0
Locks,0-15,0.5,22.7,2.9,3.9,0.3,7.7,0.2,0.2,0.6,9.2,89.4,2.3,6.6,0.4,31.4,0.2,0.2,0.8
Locks,16-30,1.9,11.9,3.1,3.6,0.2,3.5,0.3,0.3,0.3,22.3,101.5,2,6.6,0.3,33.2,0.4,0.4,0.3
Locks,31-45,1.2,15.1,1.2,3.2,0.3,5.7,0.4,0.3,0.2,37,100.6,1.1,6,0.5,33.4,0.5,0.5,0.3
Locks,46-60,2,12.7,0.8,2.4,0.2,5,0.3,0.4,0.1,52.8,99.4,0.7,5,0.3,34,0.5,0.7,0.1
Locks,61-90,4.3,8.4,0.6,2.1,0.2,2.9,0.2,0.3,0.1,74,96.9,0.3,3.9,0.3,34.3,0.7,0.5,0.1
Locks,91-120,4.2,10.9,0.1,1.2,0.1,3.2,0.5,0.4,0.2,103.8,90,0.1,3,0.2,32.7,0.8,0.6,0.2
Locks,121-150,11,4.5,0.7,1.7,0.2,2.4,0.3,0.5,0,134.9,94.5,0.8,5,0.3,35.1,0.9,0.7,0
Locks,151-180,11.3,17.6,1.5,1.2,0.2,4.7,0.3,0.7,0,162,100.8,2.5,7.1,0.6,34,0.9,0.9,0
Locks,180+,0,0,0,0,0,0,0,0,0,212,80.7,0.8,5.3,0.7,31.5,0.1,0,0
Back Row,0-15,0.6,23.9,3.4,5.9,0.4,8.7,0.2,0.1,0.4,9.2,87.8,4,11.6,0.7,33.3,0.6,0.2,0.6
