position_5,duration_mins,Accels_emmean,Accels_lower_HPD,Accels_upper_HPD,Contacts_emmean,Contacts_lower_HPD,Contacts_upper_HPD,Breakdowns_emmean,Breakdowns_lower_HPD,Breakdowns_upper_HPD,Scrummaul_emmean,Scrummaul_lower_HPD,Scrummaul_upper_HPD
Front Row,10,1.7,0.9,2.8,5,3.6,6.5,2.9,2,3.9,5.2,4.1,6.4
Front Row,20,2.5,1.6,3.5,6,4.5,7.8,3.6,2.6,4.7,6.4,5.1,7.7
Front Row,30,3.4,2.3,4.7,7.3,5.5,9.2,4.4,3.2,5.7,7.9,6.4,9.3
Front Row,40,4.6,3,6.2,8.9,6.8,11.1,5.4,4,6.9,9.8,8.1,11.5
Front Row,50,5.7,3.9,7.8,10.8,8.3,13.5,6.7,4.9,8.4,12.1,10.1,14
Front Row,60,6.7,4.6,8.9,13.2,9.9,16.4,8.2,6.1,10.4,14.9,12.6,17.4
Front Row,70,7.4,5.1,10,16,12,20.1,10.1,7.4,12.9,18.4,15.6,21.6
Front Row,80,8.1,5.5,11,19.4,14,24.6,12.4,8.9,16,22.8,18.9,26.7
Front Row,90,8.7,5.9,11.9,23.5,16.8,30.7,15.3,10.6,20.1,28.1,23.1,33.5
Locks,10,3.9,1.7,7,4.9,2.8,7.2,3.5,1.9,5.5,5.5,3.9,7.2
Locks,20,4.7,2.7,7.4,5.9,3.8,8.6,4.3,2.6,6.5,6.7,4.9,8.7
Locks,30,5.8,3,9.4,7.1,4.7,9.8,5.4,3.4,7.7,8.2,6.4,10.4
Locks,40,7.1,3.2,12.4,8.6,6,11.5,6.7,4.3,9.3,10.1,8.1,12.5
Locks,50,8.4,3.9,14.7,10.4,7.5,13.9,8.3,5.6,11.3,12.4,10.1,14.9
Locks,60,9.9,5.2,15.8,12.5,8.7,16.3,10.2,6.9,14,15.2,12.8,18.2
Locks,70,11.6,6.5,18.3,15,10.4,19.8,12.7,8.4,17.3,18.7,15.7,22.2
Locks,80,13.6,7.2,21.8,18.1,12.5,24.7,15.7,10.3,22.2,23,19.2,27.4
Locks,90,16.1,8.9,25.5,21.8,14.5,30.6,19.5,12.5,28.8,28.2,23,33.9
Back Row,10,2.8,1.6,4.3,5.7,3.8,7.6,3.7,2.4,5.3,4.3,3.2,5.6
Back Row,20,4.3,2.8,6.1,6.9,4.8,9.1,4.6,3,6.2,5.4,4.1,6.8
Back Row,30,6.6,4.3,9.2,8.4,6.1,10.9,5.6,3.9,7.5,6.7,5.3,8.3
Back Row,40,9.5,5.9,13.8,10.1,7.5,12.8,6.8,5,9,8.4,6.7,10.2
Back Row,50,12.9,8.4,18.3,12.3,9.4,15.4,8.3,6.2,10.7,10.5,8.5,12.4
Back Row,60,16.3,11.6,21.9,14.9,11.4,18.6,10.1,7.6,12.9,13.1,10.9,15.4
Back Row,70,19.3,14.1,25.3,18.1,13.9,22.5,12.3,9.2,15.7,16.3,13.7,19
Back Row,80,21.7,15.7,29.1,21.9,16.4,27.3,15,11.1,19.2,20.4,17.1,23.7
Back Row,90,23.4,16.6,30.7,26.6,19.7,33.8,18.2,13.1,23.5,25.5,21.3,29.9
Inside Backs,10,6.2,2.9,10.9,6.3,3.8,9.4,1.5,0.8,2.6,0.1,0,0.4
Inside Backs,20,8.5,5.1,12.8,7.4,4.7,10.6,2,1.1,3.2,0.1,0,0.3
Inside Backs,30,11.3,6.8,16.6,8.7,5.9,12,2.6,1.5,3.9,0.1,0,0.3
Inside Backs,40,14.7,8.5,22.7,10.2,7.3,13.7,3.5,2.2,5,0.1,0,0.3
Inside Backs,50,18.3,10.8,27.8,12,8.7,15.5,4.5,3.1,6.4,0.1,0,0.3
Inside Backs,60,21.6,14.4,30.8,14.1,10.6,17.9,6,4.2,8,0.1,0,0.3
Inside Backs,70,24.4,17.4,32.5,16.6,12.6,20.9,7.9,5.6,10.3,0.1,0,0.3
Inside Backs,80,26.1,18.9,34.1,19.4,14.6,24.6,10.3,7.5,13.6,0.1,0,0.3
Inside Backs,90,26.3,19,35.1,22.8,16.8,29.4,13.6,9.5,18.2,0.2,0,0.4
Outside Backs,10,5.5,3.2,8.3,3,1.9,4.4,1.3,0.7,2.1,0.1,0,0.3
Outside Backs,20,8.2,5.5,11.2,3.8,2.6,5.4,1.7,1,2.6,0.1,0,0.2
Outside Backs,30,11.7,8.3,15.6,4.9,3.4,6.6,2.3,1.4,3.3,0.1,0,0.2
Outside Backs,40,15.8,11.3,21.5,6.2,4.4,8.1,3,2,4.2,0.1,0,0.2
Outside Backs,50,19.9,14.4,26.6,7.9,5.8,10,4,2.7,5.2,0.1,0,0.2
Outside Backs,60,23.4,17.2,30.3,10.1,7.7,12.6,5.2,3.8,6.8,0.1,0,0.1
Outside Backs,70,26,19.4,33.7,12.8,9.8,15.7,6.9,5,8.8,0.1,0,0.1
Outside Backs,80,28,20.7,36.5,16.3,12.6,20.2,9.1,6.7,11.6,0.1,0,0.1
Outside Backs,90,29.7,22.1,38.4,20.8,15.9,26.2,11.9,8.7,15.5,0.1,0,0.2
