fixture_id,team_id,start_time,rd,BIP,BOP,half,BIP_bin,BOP_bin,WR_ratio,W:R,WR_bin,BIP_sec,BOP_sec
fix_OkeAIV22,team_UbIB7L,17:06:03,rd1,00:29.0,00:16.0,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16
fix_OkeAIV22,team_UbIB7L,17:06:48,rd1,00:24.0,00:43.0,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43
fix_OkeAIV22,team_UbIB7L,17:07:55,rd1,00:20.0,00:04.0,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4
fix_OkeAIV22,team_UbIB7L,17:08:19,rd1,00:35.0,01:41.0,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101
fix_OkeAIV22,team_UbIB7L,17:10:35,rd1,00:09.0,00:25.0,First Half,0-15,16-30,2.777777778,01:02.8,1:2.5-3,9,25
fix_OkeAIV22,team_UbIB7L,17:11:09,rd1,00:15.0,00:37.0,First Half,0-15,31-45,2.466666667,01:02.5,1:2-2.5,15,37
fix_OkeAIV22,team_UbIB7L,17:12:01,rd1,00:06.0,00:36.0,First Half,0-15,31-45,6,01:06,1:3+,6,36
fix_OkeAIV22,team_UbIB7L,17:12:43,rd1,01:14.0,00:48.0,First Half,61-90,46-60,0.648648649,01:00.7,1:0.5-1,74,48
fix_OkeAIV22,team_UbIB7L,17:14:45,rd1,00:24.0,00:28.0,First Half,16-30,16-30,1.166666667,01:01.2,1:1-1.5,24,28
fix_OkeAIV22,team_UbIB7L,17:15:37,rd1,00:26.0,00:36.0,First Half,16-30,31-45,1.384615385,01:01.4,1:1-1.5,26,36
fix_OkeAIV22,team_UbIB7L,17:16:39,rd1,00:18.0,00:09.0,First Half,16-30,0-15,0.5,01:00.5,1:0.5-1,18,9
fix_OkeAIV22,team_UbIB7L,17:17:06,rd1,00:12.0,02:05.0,First Half,0-15,121-150,10.41666667,01:10.4,1:3+,12,125
fix_OkeAIV22,team_UbIB7L,17:19:23,rd1,00:16.0,01:33.0,First Half,16-30,91-120,5.8125,01:05.8,1:3+,16,93
fix_OkeAIV22,team_UbIB7L,17:21:12,rd1,00:31.0,00:26.0,First Half,31-45,16-30,0.838709677,01:00.8,1:0.5-1,31,26
fix_OkeAIV22,team_UbIB7L,17:22:09,rd1,00:24.0,00:44.0,First Half,16-30,31-45,1.833333333,01:01.8,1:1.5-2,24,44
fix_OkeAIV22,team_UbIB7L,17:23:17,rd1,00:15.0,00:40.0,First Half,0-15,31-45,2.666666667,01:02.7,1:2.5-3,15,40
fix_OkeAIV22,team_UbIB7L,17:24:12,rd1,00:43.0,01:27.0,First Half,31-45,61-90,2.023255814,01:02.0,1:2-2.5,43,87
fix_OkeAIV22,team_UbIB7L,17:26:22,rd1,00:04.0,00:53.0,First Half,0-15,46-60,13.25,01:13.3,1:3+,4,53
fix_OkeAIV22,team_UbIB7L,17:27:19,rd1,01:58.0,02:07.0,First Half,91-120,121-150,1.076271186,01:01.1,1:1-1.5,118,127
fix_OkeAIV22,team_UbIB7L,17:31:24,rd1,00:23.0,00:51.0,First Half,16-30,46-60,2.217391304,01:02.2,1:2-2.5,23,51
fix_OkeAIV22,team_UbIB7L,17:32:38,rd1,00:21.0,00:44.0,First Half,16-30,31-45,2.095238095,01:02.1,1:2-2.5,21,44
fix_OkeAIV22,team_UbIB7L,17:33:43,rd1,00:31.0,00:47.0,First Half,31-45,46-60,1.516129032,01:01.5,1:1.5-2,31,47
fix_OkeAIV22,team_UbIB7L,17:35:01,rd1,01:04.0,00:45.0,First Half,61-90,31-45,0.703125,01:00.7,1:0.5-1,64,45
fix_OkeAIV22,team_UbIB7L,17:36:50,rd1,01:11.0,00:54.0,First Half,61-90,46-60,0.76056338,01:00.8,1:0.5-1,71,54
fix_OkeAIV22,team_UbIB7L,17:38:55,rd1,00:29.0,00:50.0,First Half,16-30,46-60,1.724137931,01:01.7,1:1.5-2,29,50
fix_OkeAIV22,team_UbIB7L,17:40:14,rd1,00:56.0,01:33.0,First Half,46-60,91-120,1.660714286,01:01.7,1:1.5-2,56,93
fix_OkeAIV22,team_UbIB7L,17:42:43,rd1,00:56.0,01:06.0,First Half,46-60,61-90,1.178571429,01:01.2,1:1-1.5,56,66
fix_OkeAIV22,team_UbIB7L,17:44:45,rd1,01:08.0,00:50.0,First Half,61-90,46-60,0.735294118,01:00.7,1:0.5-1,68,50
fix_OkeAIV22,team_UbIB7L,17:46:43,rd1,00:58.0,00:51.0,First Half,46-60,46-60,0.879310345,01:00.9,1:0.5-1,58,51
fix_OkeAIV22,team_UbIB7L,17:48:32,rd1,01:20.0,NA,First Half,61-90,NA,NA,NA,NA,80,NA
fix_OkeAIV22,team_UbIB7L,18:03:02,rd1,00:15.0,01:09.0,Second Half,0-15,61-90,4.6,01:04.6,1:3+,15,69
fix_OkeAIV22,team_UbIB7L,18:04:26,rd1,00:04.0,00:46.0,Second Half,0-15,46-60,11.5,01:11.5,1:3+,4,46
fix_OkeAIV22,team_UbIB7L,18:05:16,rd1,00:45.0,00:39.0,Second Half,31-45,31-45,0.866666667,01:00.9,1:0.5-1,45,39
fix_OkeAIV22,team_UbIB7L,18:06:40,rd1,00:09.0,00:45.0,Second Half,0-15,31-45,5,01:05,1:3+,9,45
fix_OkeAIV22,team_UbIB7L,18:07:34,rd1,00:26.0,00:51.0,Second Half,16-30,46-60,1.961538462,01:02.0,1:1.5-2,26,51
fix_OkeAIV22,team_UbIB7L,18:08:51,rd1,00:59.0,02:12.0,Second Half,46-60,121-150,2.237288136,01:02.2,1:2-2.5,59,132
fix_OkeAIV22,team_UbIB7L,18:12:02,rd1,00:31.0,00:46.0,Second Half,31-45,46-60,1.483870968,01:01.5,1:1-1.5,31,46
fix_OkeAIV22,team_UbIB7L,18:13:19,rd1,00:35.0,00:03.0,Second Half,31-45,0-15,0.085714286,01:00.1,1:0-0.5,35,3
fix_OkeAIV22,team_UbIB7L,18:13:57,rd1,00:14.0,00:36.0,Second Half,0-15,31-45,2.571428571,01:02.6,1:2.5-3,14,36
fix_OkeAIV22,team_UbIB7L,18:14:47,rd1,00:15.0,01:27.0,Second Half,0-15,61-90,5.8,01:05.8,1:3+,15,87
fix_OkeAIV22,team_UbIB7L,18:16:29,rd1,00:05.0,00:55.0,Second Half,0-15,46-60,11,01:11,1:3+,5,55
