anonID,fixture_id,team_id,id,period_name,period_tags,rd,start_time,position_fb,position_5,position_6,position,total_duration,total_distance,hmld_gen_2,accelerations_total_number,total_acceleration_load,hsr_distance_5m_s,game_start_time,end_time,ball_carry,defensive_breakdown,tackle,offensive_breakdown,collision,attacker,maul,na,defensive_scrum,offensive_scrum,bip,bop,half,bip_bin,bop_bin,wr_ratio,w_r,wr_bin,bip_sec,bop_sec,turnaround,total_scrums,total_breakdowns,SYNTH_spmld_m,SYNTH_acceleration_density,SYNTH_contact_involvement_total_count,SYNTH_scrum_count,SYNTH_sprints_5m_s,SYNTH_velocity_b4_average_effort_distance_gen2,SYNTH_velocity_b4_maximum_effort_distance_gen2,SYNTH_vhsr_srw,SYNTH_total_contact_involvements
7338b1e1,fix_OkeAIV22,team_UbIB7L,3,BIP,Game - Starter,rd1,17:06:03,Back,Outside Backs,Outside Backs,Back Three,00:00:29,73.02961,17.97,1,27.6114,16.11,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,3.26,0.9888,0,0,0,0,0,0,1
7338b1e1,fix_OkeAIV22,team_UbIB7L,6,BIP,Game - Starter,rd1,17:06:03,Back,Outside Backs,Outside Backs,Back Three,00:00:29,91.08572,33.55,1,24.16795,26.03,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,0.83,0.90464,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,9,BIP,Game - Starter,rd1,17:06:03,Forward,Back Row,Back Row,Back Row,00:00:29,87.056,28.75,2,26.14884,11.95,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,2.04,0.589,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,4,BIP,Game - Starter,rd1,17:06:03,Forward,Locks,Locks,Second Row,00:00:29,59.632,3.13,0,21.672,0,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,0,0.09812,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,38,BIP,Game - Starter,rd1,17:06:03,Forward,Front Row,Front Row,Front Row,00:00:29,81.56599,0.76,0,14.63694,0,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,0,0.60488,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,25,BIP,Game - Starter,rd1,17:06:03,Forward,Locks,Locks,Second Row,00:00:29,90.1683,14.82,1,23.02467,0,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,0,0.42781,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,21,BIP,Game - Starter,rd1,17:06:03,Back,Inside Backs,Scrum Halve,Halves,00:00:29,55.1957,4.16,0,22.12613,0,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,0,0.33134,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,18,BIP,Game - Starter,rd1,17:06:03,Back,Outside Backs,Outside Backs,Centres,00:00:29,93.311,25.72,0,24.44485,16.51,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,4.59,0.79896,0,0,0,0,0,0,1
7338b1e1,fix_OkeAIV22,team_UbIB7L,22,BIP,Game - Starter,rd1,17:06:03,Back,Outside Backs,Outside Backs,Back Three,00:00:29,80.725,23.2,2,21.45616,23.14,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,5.93,0.38849,0,0,1,21.94434,21.2251,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,15,BIP,Game - Starter,rd1,17:06:03,Back,Inside Backs,Inside Backs,Halves,00:00:29,51.70551,11.67,0,23.53764,2.56,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,0,0.72408,0,0,0,0,0,0,0
