anonID,fixture_id,team_id,id,period_name,period_tags,rd,position_fb,position_5,position_6,position,total_duration,total_distance,hmld_gen_2,accelerations_total_number,total_acceleration_load,hsr_distance_5m_s,maul,ball_carry,collision,defensive_breakdown,defensive_scrum,offensive_scrum,tackle,offensive_breakdown,attacker,total_scrums,total_breakdowns,turnaround,SYNTH_vhsr_srw,SYNTH_sprints_5m_s,SYNTH_acceleration_density,SYNTH_velocity_b4_average_effort_distance_gen2,SYNTH_velocity_b4_maximum_effort_distance_gen2,SYNTH_total_contact_involvements,SYNTH_scrum_count,SYNTH_spmld_m,SYNTH_contact_involvement_total_count
7338b1e1,fix_OkeAIV22,team_UbIB7L,1,Second Half,Game - Sub,rd1,Forward,Front Row,Front Row,Front Row,00:30:40,1641.21021,36.54,4,520.89671,0,3,1,1,5,4,3,9,0,0,7,5,≥ 10,0,2,0.41901,8.80512,9.82202,12,0,22.22,11
7338b1e1,fix_OkeAIV22,team_UbIB7L,1,Match Total,Game - Sub,rd1,Forward,Front Row,Front Row,Front Row,00:30:40,1641.21021,36.54,4,520.89671,0,4,1,1,5,4,3,9,0,0,7,5,≥ 10,69.3,22,0.4082,13.50531,28.00101,22,0,140.84,17
7338b1e1,fix_OkeAIV22,team_UbIB7L,3,First Half,Game - Starter,rd1,Back,Outside Backs,Outside Backs,Back Three,00:44:30,3149.9563,281.39999,14,946.05004,138.24,0,6,0,2,0,0,4,1,0,0,3,≥ 10,0,0,0.29854,0,0,17,5,9.88,6
7338b1e1,fix_OkeAIV22,team_UbIB7L,3,Second Half,Game - Starter,rd1,Back,Outside Backs,Outside Backs,Back Three,00:47:08,2679.88696,90.43,1,840.2359,31.26,0,1,0,1,0,0,4,1,0,0,2,≥ 10,45.53,21,0.41712,8.357605,18.87305,24,0,151.01,23
7338b1e1,fix_OkeAIV22,team_UbIB7L,3,Match Total,Game - Starter,rd1,Back,Outside Backs,Outside Backs,Back Three,01:31:38,5829.84326,371.82999,15,1786.28594,169.5,0,7,0,3,0,0,8,2,0,0,5,≥ 10,0,1,0.319165,27.037,26.68201,15,4,10.8,9
7338b1e1,fix_OkeAIV22,team_UbIB7L,4,First Half,Game - Starter,rd1,Forward,Locks,Locks,Second Row,00:44:30,2853.07324,44.28,2,857.88367,0,6,0,0,0,7,5,8,10,1,12,10,≥ 10,0,2,0.38373,5.39044,9.89014,15,8,18.01,7
7338b1e1,fix_OkeAIV22,team_UbIB7L,4,Second Half,Game - Starter,rd1,Forward,Locks,Locks,Second Row,00:37:19,2077.91895,27.99,3,695.78756,0,5,1,0,0,5,2,7,11,1,7,11,≥ 10,2.71,4,0.4034,11.47868,17.44092,7,0,25.78,7
7338b1e1,fix_OkeAIV22,team_UbIB7L,4,Match Total,Game - Starter,rd1,Forward,Locks,Locks,Second Row,01:21:49,4930.99219,72.27,5,1553.67123,0,11,1,0,0,12,7,15,21,2,19,21,≥ 10,29.25,7,0.30269,13.3977,32.81396,29,8,60.96,11
7338b1e1,fix_OkeAIV22,team_UbIB7L,6,First Half,Game - Starter,rd1,Back,Outside Backs,Outside Backs,Back Three,00:44:30,3122.53003,571.73999,27,1012.23356,421.70001,0,0,1,2,0,0,8,3,0,0,5,≥ 10,18.21,6,0.41209,14.310715,32.52893,16,0,56.76,9
7338b1e1,fix_OkeAIV22,team_UbIB7L,6,Second Half,Game - Starter,rd1,Back,Outside Backs,Outside Backs,Back Three,00:20:14,943.96802,55.5,9,339.96826,4.25,0,0,0,0,0,0,1,0,0,0,0,≥ 10,12.54,9,0.31762,9.75703,25.02002,40,9,76.19,17
